transaction_id,transaction_date,transaction_amount,transaction_type,merchant_id,mcc,merchant_category,merchant_size,merchant_monthly_upi_receipts,merchant_region,payer_bank,acquirer_bank,transaction_status,upi_app,policy_version,source_type
TX00000001,2026-10-27,1060.88,P2P,None,None,None,None,,West,IndusInd Bank,HDFC Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000002,2026-10-26,235.17,P2M,M07527,5732,Electronics,Large,3680823.96,North,Axis Bank,SBI,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000003,2026-10-22,420.06,P2M,M00890,5814,Fast Food,Small,49022.65,West,SBI,ICICI Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000004,2026-10-23,410.74,P2M,M01437,4814,Telecom,Small,15719.04,West,Axis Bank,Kotak Mahindra Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000005,2026-10-16,235.99,P2M,M06777,5999,Other Retail,Medium,119987.08,Central,ICICI Bank,HDFC Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000006,2026-10-30,491.0,P2M,M10943,5814,Fast Food,Small,80303.34,Central,IndusInd Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000007,2026-10-31,1866.31,P2P,None,None,None,None,,West,IndusInd Bank,HDFC Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000008,2026-10-27,2150.84,P2P,None,None,None,None,,East,ICICI Bank,HDFC Bank,Success,Other,MDR_2026,Synthetic_Calibrated
TX00000009,2026-10-21,286.75,P2M,M11099,5999,Other Retail,Small,24380.03,West,IndusInd Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000010,2026-10-24,432.98,P2M,M00191,5999,Other Retail,Small,76284.34,East,Kotak Mahindra Bank,IndusInd Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000011,2026-10-23,244.74,P2M,M06258,5999,Other Retail,Small,94282.69,Central,IndusInd Bank,ICICI Bank,Success,BHIM,MDR_2026,Synthetic_Calibrated
TX00000012,2026-10-23,238.01,P2M,M01388,5311,Department Stores,Small,81890.74,South,SBI,Kotak Mahindra Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000013,2026-10-16,858.57,P2P,None,None,None,None,,West,SBI,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000014,2026-10-15,42264.85,P2M,M02829,5814,Fast Food,Small,82902.2,South,Axis Bank,HDFC Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000015,2026-10-29,1172.64,P2P,None,None,None,None,,Central,Axis Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000016,2026-10-29,696.4,P2P,None,None,None,None,,North,ICICI Bank,ICICI Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000017,2026-10-30,288.58,P2M,M11172,5411,Grocery,Medium,346733.51,East,Axis Bank,SBI,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000018,2026-10-19,1663.23,P2P,None,None,None,None,,South,IndusInd Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000019,2026-10-23,566.65,P2P,None,None,None,None,,Central,ICICI Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000020,2026-10-16,310.28,P2M,M10761,4814,Telecom,Medium,515613.54,West,HDFC Bank,SBI,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000021,2026-10-29,1746.39,P2P,None,None,None,None,,Central,Axis Bank,HDFC Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000022,2026-10-16,1159.35,P2M,M08986,5311,Department Stores,Small,68619.11,Central,IndusInd Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000023,2026-10-20,97.85,P2M,M07412,5814,Fast Food,Small,32341.3,North,Kotak Mahindra Bank,Kotak Mahindra Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000024,2026-10-28,1895.13,P2P,None,None,None,None,,South,SBI,Kotak Mahindra Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000025,2026-10-15,393.31,P2P,None,None,None,None,,South,SBI,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000026,2026-10-30,8073.83,P2M,M10886,6211,Capital Markets,Medium,397930.7,East,Kotak Mahindra Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000027,2026-10-19,452.82,P2M,M11541,6211,Capital Markets,Large,3586632.28,East,IndusInd Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000028,2026-10-20,65.41,P2M,M05153,5999,Other Retail,Small,67853.54,East,Axis Bank,Axis Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000029,2026-10-26,184.23,P2M,M05468,5411,Grocery,Medium,461392.67,Central,Axis Bank,ICICI Bank,Success,BHIM,MDR_2026,Synthetic_Calibrated
TX00000030,2026-10-18,302.59,P2M,M02967,5311,Department Stores,Small,46687.08,East,Axis Bank,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000031,2026-10-19,369.06,P2P,None,None,None,None,,Central,ICICI Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000032,2026-10-27,840.74,P2M,M11798,5812,Restaurant,Small,45234.53,Central,Axis Bank,Axis Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000033,2026-10-16,545.67,P2P,None,None,None,None,,East,Kotak Mahindra Bank,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000034,2026-10-30,1736.69,P2P,None,None,None,None,,East,ICICI Bank,HDFC Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000035,2026-10-24,351.02,P2M,M06160,5411,Grocery,Large,3646809.76,North,ICICI Bank,HDFC Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000036,2026-10-18,446.12,P2M,M05082,4814,Telecom,Small,72097.39,North,Axis Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000037,2026-10-16,416.29,P2M,M05850,5311,Department Stores,Small,68940.33,East,ICICI Bank,SBI,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000038,2026-10-25,732.17,P2P,None,None,None,None,,South,Kotak Mahindra Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000039,2026-10-18,105.0,P2M,M02500,5999,Other Retail,Small,31893.27,West,ICICI Bank,ICICI Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000040,2026-10-28,1036.81,P2P,None,None,None,None,,Central,ICICI Bank,ICICI Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000041,2026-10-22,92.67,P2M,M02381,5541,Fuel,Medium,488889.56,East,HDFC Bank,Axis Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000042,2026-10-15,349.82,P2M,M09886,5999,Other Retail,Medium,810239.27,East,SBI,ICICI Bank,Failed,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000043,2026-10-29,281.3,P2M,M08428,6211,Capital Markets,Small,93406.59,West,SBI,Axis Bank,Success,Other,MDR_2026,Synthetic_Calibrated
TX00000044,2026-10-29,498.03,P2M,M09654,5411,Grocery,Medium,435195.52,Central,HDFC Bank,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000045,2026-10-23,237.25,P2M,M02904,6211,Capital Markets,Medium,852681.06,East,ICICI Bank,IndusInd Bank,Success,BHIM,MDR_2026,Synthetic_Calibrated
TX00000046,2026-10-24,181.52,P2M,M07012,5999,Other Retail,Small,34648.36,North,SBI,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000047,2026-10-22,5295.74,P2P,None,None,None,None,,South,Kotak Mahindra Bank,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000048,2026-10-28,395.6,P2M,M00230,5999,Other Retail,Large,7386237.29,Central,IndusInd Bank,ICICI Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000049,2026-10-16,1021.35,P2P,None,None,None,None,,North,Kotak Mahindra Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000050,2026-10-28,4677.24,P2P,None,None,None,None,,East,Axis Bank,SBI,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000051,2026-10-27,481.09,P2M,M04801,4112,Railways,Small,32340.36,East,SBI,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000052,2026-10-17,788.56,P2P,None,None,None,None,,West,IndusInd Bank,IndusInd Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000053,2026-10-24,3180.36,P2P,None,None,None,None,,East,Axis Bank,SBI,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000054,2026-10-16,250.44,P2M,M00256,5411,Grocery,Large,2049544.3,South,ICICI Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000055,2026-10-19,314.57,P2M,M01408,5541,Fuel,Small,71636.38,Central,SBI,IndusInd Bank,Success,BHIM,MDR_2026,Synthetic_Calibrated
TX00000056,2026-10-25,145.85,P2M,M03606,5999,Other Retail,Medium,473955.25,North,ICICI Bank,ICICI Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000057,2026-10-20,1363.42,P2P,None,None,None,None,,South,Kotak Mahindra Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000058,2026-10-18,1316.66,P2P,None,None,None,None,,North,IndusInd Bank,Kotak Mahindra Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000059,2026-10-31,331.54,P2P,None,None,None,None,,West,IndusInd Bank,IndusInd Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000060,2026-10-20,158.21,P2M,M10950,5814,Fast Food,Small,77948.42,North,HDFC Bank,Kotak Mahindra Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000061,2026-10-29,490.29,P2M,M09249,5814,Fast Food,Medium,110103.19,West,ICICI Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000062,2026-10-29,841.17,P2P,None,None,None,None,,Central,Axis Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000063,2026-10-31,4419.96,P2P,None,None,None,None,,East,HDFC Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000064,2026-10-19,293.61,P2M,M09716,5732,Electronics,Small,88398.33,South,SBI,SBI,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000065,2026-10-15,104.8,P2M,M04877,5411,Grocery,Medium,842476.93,West,IndusInd Bank,IndusInd Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000066,2026-10-18,1553.36,P2M,M07796,5411,Grocery,Medium,228147.12,East,Kotak Mahindra Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000067,2026-10-22,2455.57,P2P,None,None,None,None,,East,IndusInd Bank,HDFC Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000068,2026-10-17,463.09,P2M,M09366,5999,Other Retail,Small,94108.09,East,SBI,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000069,2026-10-30,139.55,P2M,M04133,5999,Other Retail,Medium,288218.66,Central,SBI,SBI,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000070,2026-10-21,12209.8,P2P,None,None,None,None,,South,ICICI Bank,ICICI Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000071,2026-10-16,441.48,P2M,M01023,5732,Electronics,Large,3536242.68,East,SBI,IndusInd Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000072,2026-10-22,1274.93,P2P,None,None,None,None,,North,Axis Bank,Axis Bank,Success,Other,MDR_2026,Synthetic_Calibrated
TX00000073,2026-10-24,132.52,P2M,M06042,5411,Grocery,Medium,451723.55,Central,IndusInd Bank,SBI,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000074,2026-10-31,169.22,P2M,M05346,5411,Grocery,Large,3357645.66,North,SBI,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000075,2026-10-30,470.55,P2M,M05938,5812,Restaurant,Small,38728.74,South,HDFC Bank,IndusInd Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000076,2026-10-29,175.32,P2M,M07515,5812,Restaurant,Large,3818722.24,West,ICICI Bank,HDFC Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000077,2026-10-24,6417.83,P2M,M07542,5311,Department Stores,Small,87760.85,North,IndusInd Bank,HDFC Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000078,2026-10-24,354.89,P2M,M05686,5999,Other Retail,Small,43530.09,Central,Kotak Mahindra Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000079,2026-10-23,367.41,P2M,M06611,5814,Fast Food,Small,53894.73,North,SBI,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000080,2026-10-27,184.93,P2M,M08505,5812,Restaurant,Medium,871367.03,East,Kotak Mahindra Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000081,2026-10-30,5998.38,P2P,None,None,None,None,,South,Axis Bank,Axis Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000082,2026-10-28,5805.63,P2M,M08394,5812,Restaurant,Large,9235212.2,Central,SBI,SBI,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000083,2026-10-24,306.0,P2M,M06830,5411,Grocery,Small,25410.13,Central,HDFC Bank,HDFC Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000084,2026-10-20,234.63,P2M,M09229,5411,Grocery,Small,47493.9,North,ICICI Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000085,2026-10-17,435.9,P2M,M00622,5411,Grocery,Small,86916.18,North,ICICI Bank,Kotak Mahindra Bank,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000086,2026-10-20,2285.38,P2P,None,None,None,None,,West,ICICI Bank,SBI,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000087,2026-10-22,100.72,P2M,M05448,5814,Fast Food,Large,5379855.67,West,IndusInd Bank,Kotak Mahindra Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000088,2026-10-30,1397.08,P2P,None,None,None,None,,South,Axis Bank,ICICI Bank,Success,Paytm,MDR_2026,Synthetic_Calibrated
TX00000089,2026-10-24,1882.29,P2P,None,None,None,None,,East,SBI,SBI,Success,Google Pay,MDR_2026,Synthetic_Calibrated
TX00000090,2026-10-21,460.55,P2M,M09040,5999,Other Retail,Small,27263.39,North,IndusInd Bank,Axis Bank,Success,PhonePe,MDR_2026,Synthetic_Calibrated
TX00000091,2026-10-27,2257.3,P2P,None,None,None,None,,South,ICICI Bank,SBI,Success,Other,MDR_2026,Synthetic_Calibrated
