merchant_category,transaction_count,transaction_value,estimated_mdr,mdr_share
Grocery,13930,11753229.43,10902.05356,26.56777744178518
Other Retail,11439,9649428.64,8882.70444,21.646721266252612
Restaurant,8740,7320156.78,6734.4408,16.411506638138157
Electronics,4978,4340281.57,5239.43584,12.7682518299454
Department Stores,6353,5510672.3,4171.4764000000005,10.165686307530786
Fast Food,5099,4183209.04,3920.28592,9.553547252131098
Telecom,3913,3378558.41,450.0,1.096628243752944
Fuel,4986,4136929.19,450.0,1.096628243752944
Railways,1934,1633231.73,200.0,0.487390330556864
Capital Markets,1880,1505591.01,84.475392,0.2058624461540033
