transaction_date,transaction_count,transaction_value,estimated_mdr
2026-10-15,3710,2953254.9,2561.59161
2026-10-16,3724,3397258.93,3116.30808
2026-10-17,3719,3198968.03,2397.023126
2026-10-18,3763,2999608.36,1752.48936
2026-10-19,3725,2845923.22,2428.83972
2026-10-20,3694,2913901.56,1801.8125280000002
2026-10-21,3660,3197734.23,3087.060616
2026-10-22,3797,3108873.82,2318.451552
2026-10-23,3661,2996420.14,3174.378192
2026-10-24,3689,3182593.63,2131.4156000000003
2026-10-25,3730,3431617.53,2411.21744
2026-10-26,3714,3602026.61,2630.226248
2026-10-27,3654,2764632.14,1966.5988180000002
2026-10-28,3821,3050786.95,2141.705984
2026-10-29,3784,3443147.04,2630.896736
2026-10-30,3653,3059125.49,1930.987046
2026-10-31,3754,3265415.52,2553.869696
